dataset,seed,alpha_sig,target,marg_cov_marginal,marg_cov_fraud,marg_fraud_ok,mond_cov_marginal,mond_cov_fraud,mond_fraud_ok,mond_alert_pct,n_cal_fraud,ks_marginal,ks_fraud
T,42,0.05,0.95,0.9666,0.25,False,0.9675,1.0,True,100.0,56,0.0635,0.1003
T,42,0.1,0.9,0.9666,0.25,False,0.9675,0.9423,True,23.4165,56,0.0635,0.1003
T,42,0.2,0.8,0.7631,0.0,False,0.7641,0.8077,True,0.5384,56,0.0635,0.1003
T,43,0.05,0.95,0.9915,0.1731,False,0.9925,1.0,True,100.0,56,0.0354,0.103
T,43,0.1,0.9,0.8941,0.1731,False,0.8949,0.9038,True,10.559,56,0.0354,0.103
T,43,0.2,0.8,0.7651,0.0,False,0.7661,0.8077,True,0.8473,56,0.0354,0.103
T,44,0.05,0.95,0.9901,0.1731,False,0.9911,1.0,True,100.0,56,0.0075,0.1484
T,44,0.1,0.9,0.9238,0.1731,False,0.9247,0.8846,False,7.5956,56,0.0075,0.1484
T,44,0.2,0.8,0.8861,0.1731,False,0.8869,0.8077,True,0.6414,56,0.0075,0.1484
T,45,0.05,0.95,0.9921,0.3846,False,0.9929,1.0,True,100.0,56,0.0278,0.1195
T,45,0.1,0.9,0.8891,0.3846,False,0.8897,0.9231,True,11.0248,56,0.0278,0.1195
T,45,0.2,0.8,0.8283,0.3846,False,0.8288,0.7885,False,0.302,56,0.0278,0.1195
T,46,0.05,0.95,0.9489,0.0,False,0.9501,1.0,True,100.0,56,0.0429,0.103
T,46,0.1,0.9,0.9489,0.0,False,0.95,0.9231,True,13.9811,56,0.0429,0.103
T,46,0.2,0.8,0.7656,0.0,False,0.7666,0.8077,True,0.3441,56,0.0429,0.103
K,42,0.05,0.95,0.9846,0.0112,False,0.9882,0.9417,False,41.3979,1252,0.0084,0.058
K,42,0.1,0.9,0.9846,0.0112,False,0.9879,0.8867,False,15.8278,1252,0.0084,0.058
K,42,0.2,0.8,0.8406,0.0112,False,0.8436,0.7907,False,0.7806,1252,0.0084,0.058
K,43,0.05,0.95,0.9863,0.0126,False,0.99,0.958,True,53.1371,1252,0.0029,0.0481
K,43,0.1,0.9,0.9863,0.0126,False,0.9897,0.8858,False,21.389,1252,0.0029,0.0481
K,43,0.2,0.8,0.8403,0.0126,False,0.8433,0.78,False,0.7374,1252,0.0029,0.0481
K,44,0.05,0.95,0.9574,0.0079,False,0.9612,1.0,True,100.0,1252,0.0175,0.0482
K,44,0.1,0.9,0.9574,0.0079,False,0.9607,0.8858,False,30.7168,1252,0.0175,0.0482
K,44,0.2,0.8,0.8304,0.0079,False,0.8335,0.7907,False,0.8092,1252,0.0175,0.0482
K,45,0.05,0.95,0.981,0.0117,False,0.9847,0.9725,True,73.6995,1252,0.0135,0.0616
K,45,0.1,0.9,0.981,0.0117,False,0.9845,0.904,True,25.0002,1252,0.0135,0.0616
K,45,0.2,0.8,0.981,0.0117,False,0.984,0.7697,False,0.7228,1252,0.0135,0.0616
K,46,0.05,0.95,0.955,0.0,False,0.9588,1.0,True,100.0,1252,0.0028,0.0386
K,46,0.1,0.9,0.955,0.0,False,0.9584,0.8732,False,18.2411,1252,0.0028,0.0386
K,46,0.2,0.8,0.815,0.0,False,0.818,0.78,False,0.7284,1252,0.0028,0.0386
PS,42,0.05,0.95,0.9984,0.6799,False,0.9996,0.9578,True,0.4146,562,0.0078,0.0328
PS,42,0.1,0.9,0.919,0.0,False,0.9228,0.8985,False,0.385,562,0.0078,0.0328
PS,42,0.2,0.8,0.919,0.0,False,0.9224,0.8086,True,0.3435,562,0.0078,0.0328
PS,43,0.05,0.95,0.9984,0.6749,False,0.9996,0.9601,True,0.4163,562,0.0102,0.0151
PS,43,0.1,0.9,0.9984,0.6749,False,0.9995,0.9309,True,0.4011,562,0.0102,0.0151
PS,43,0.2,0.8,0.9984,0.6749,False,0.9992,0.8738,True,0.3745,562,0.0102,0.0151
PS,44,0.05,0.95,0.9672,0.0,False,0.9712,0.9533,True,0.4122,562,0.006,0.0281
PS,44,0.1,0.9,0.9672,0.0,False,0.9711,0.9149,True,0.3941,562,0.006,0.0281
PS,44,0.2,0.8,0.9672,0.0,False,0.9706,0.7919,False,0.3365,562,0.006,0.0281
