dataset,seed,target_fraud_coverage,achieved_fraud_coverage,alert_volume_pct,n_alerts,frauds_caught,lambda_approved_pct,base_rate_pct
K,42,0.5,0.4648,0.2908,1616,997,0.207182,0.385986
K,42,0.55,0.7249,0.5882,3269,1555,0.106797,0.385986
K,42,0.6,0.7249,0.5882,3269,1555,0.106797,0.385986
K,42,0.65,0.7249,0.5882,3269,1555,0.106797,0.385986
K,42,0.7,0.7249,0.5882,3269,1555,0.106797,0.385986
K,42,0.75,0.7249,0.5882,3269,1555,0.106797,0.385986
K,42,0.8,0.7907,0.7806,4338,1696,0.081432,0.385986
K,42,0.85,0.8266,0.9906,5505,1773,0.06761,0.385986
K,42,0.9,0.8867,15.8278,87958,1902,0.05195,0.385986
K,42,0.95,0.9417,41.3979,230056,2020,0.038383,0.385986
K,43,0.5,0.4965,0.3252,1807,1065,0.194977,0.385986
K,43,0.55,0.5245,0.3495,1942,1125,0.18419,0.385986
K,43,0.6,0.5949,0.4166,2315,1276,0.157028,0.385986
K,43,0.65,0.7035,0.5924,3292,1509,0.115128,0.385986
K,43,0.7,0.7035,0.5924,3292,1509,0.115128,0.385986
K,43,0.75,0.7035,0.5924,3292,1509,0.115128,0.385986
K,43,0.8,0.78,0.7374,4098,1673,0.085566,0.385986
K,43,0.85,0.8233,0.9667,5372,1766,0.068866,0.385986
K,43,0.9,0.8858,21.389,118863,1900,0.056083,0.385986
K,43,0.95,0.958,53.1371,295293,2055,0.034559,0.385986
K,44,0.5,0.5977,0.3957,2199,1282,0.155911,0.385986
K,44,0.55,0.5977,0.3957,2199,1282,0.155911,0.385986
K,44,0.6,0.5977,0.3957,2199,1282,0.155911,0.385986
K,44,0.65,0.6224,0.4249,2361,1335,0.146379,0.385986
K,44,0.7,0.6657,0.4826,2682,1428,0.129648,0.385986
K,44,0.75,0.7207,0.5688,3161,1546,0.108405,0.385986
K,44,0.8,0.7907,0.8092,4497,1696,0.081455,0.385986
K,44,0.85,0.8256,0.9843,5470,1771,0.067969,0.385986
K,44,0.9,0.8858,30.7168,170699,1900,0.063633,0.385986
K,44,0.95,1.0,100.0,555719,2145,,0.385986
K,45,0.5,0.5483,0.3853,2141,1176,0.175043,0.385986
K,45,0.55,0.5483,0.3853,2141,1176,0.175043,0.385986
K,45,0.6,0.5967,0.4389,2439,1280,0.15634,0.385986
K,45,0.65,0.6732,0.5591,3107,1444,0.126852,0.385986
K,45,0.7,0.6732,0.5591,3107,1444,0.126852,0.385986
K,45,0.75,0.7394,0.6404,3559,1586,0.101239,0.385986
K,45,0.8,0.7697,0.7228,4017,1651,0.089541,0.385986
K,45,0.85,0.8266,1.0243,5692,1773,0.067633,0.385986
K,45,0.9,0.904,25.0002,138931,1939,0.049426,0.385986
K,45,0.95,0.9725,73.6995,409562,2086,0.040368,0.385986
K,46,0.5,0.5529,0.3892,2163,1186,0.173244,0.385986
K,46,0.55,0.5529,0.3892,2163,1186,0.173244,0.385986
K,46,0.6,0.5758,0.406,2256,1235,0.164419,0.385986
K,46,0.65,0.6793,0.4981,2768,1457,0.124423,0.385986
K,46,0.7,0.6793,0.4981,2768,1457,0.124423,0.385986
K,46,0.75,0.7184,0.5623,3125,1541,0.109303,0.385986
K,46,0.8,0.78,0.7284,4048,1673,0.085558,0.385986
K,46,0.85,0.8303,1.0129,5629,1781,0.066171,0.385986
K,46,0.9,0.8732,18.2411,101369,1873,0.059866,0.385986
K,46,0.95,1.0,100.0,555719,2145,,0.385986
PS,42,0.5,0.6799,0.2859,2729,2725,0.134816,0.419953
PS,42,0.55,0.6799,0.2859,2729,2725,0.134816,0.419953
PS,42,0.6,0.6799,0.2859,2729,2725,0.134816,0.419953
PS,42,0.65,0.6799,0.2859,2729,2725,0.134816,0.419953
PS,42,0.7,0.7098,0.2987,2851,2845,0.122223,0.419953
PS,42,0.75,0.7493,0.3165,3021,3003,0.105637,0.419953
PS,42,0.8,0.8086,0.3435,3278,3241,0.080642,0.419953
PS,42,0.85,0.8558,0.3657,3490,3430,0.060784,0.419953
PS,42,0.9,0.8985,0.385,3674,3601,0.04281,0.419953
PS,42,0.95,0.9578,0.4146,3957,3839,0.017781,0.419953
PS,43,0.5,0.6749,0.2838,2709,2705,0.136915,0.419953
PS,43,0.55,0.6749,0.2838,2709,2705,0.136915,0.419953
PS,43,0.6,0.6749,0.2838,2709,2705,0.136915,0.419953
PS,43,0.65,0.6749,0.2838,2709,2705,0.136915,0.419953
PS,43,0.7,0.7123,0.3001,2864,2855,0.121173,0.419953
PS,43,0.75,0.8738,0.3745,3574,3502,0.053217,0.419953
PS,43,0.8,0.8738,0.3745,3574,3502,0.053217,0.419953
PS,43,0.85,0.8738,0.3745,3574,3502,0.053217,0.419953
PS,43,0.9,0.9309,0.4011,3828,3731,0.029141,0.419953
PS,43,0.95,0.9601,0.4163,3973,3848,0.016835,0.419953
PS,44,0.5,0.6644,0.2791,2664,2663,0.141322,0.419953
PS,44,0.55,0.6644,0.2791,2664,2663,0.141322,0.419953
PS,44,0.6,0.6644,0.2791,2664,2663,0.141322,0.419953
PS,44,0.65,0.6816,0.2868,2737,2732,0.134082,0.419953
PS,44,0.7,0.7236,0.3056,2917,2900,0.116451,0.419953
PS,44,0.75,0.7919,0.3365,3212,3174,0.08768,0.419953
PS,44,0.8,0.7919,0.3365,3212,3174,0.08768,0.419953
PS,44,0.85,0.8331,0.3556,3394,3339,0.070347,0.419953
PS,44,0.9,0.9149,0.3941,3761,3667,0.035871,0.419953
PS,44,0.95,0.9533,0.4122,3934,3821,0.019675,0.419953
T,42,0.5,0.5577,0.0702,30,29,0.053874,0.121717
T,42,0.55,0.5962,0.0772,33,31,0.049193,0.121717
T,42,0.6,0.5962,0.0772,33,31,0.049193,0.121717
T,42,0.65,0.5962,0.0796,34,31,0.049194,0.121717
T,42,0.7,0.7115,0.1053,45,37,0.035148,0.121717
T,42,0.75,0.7308,0.1194,51,38,0.032809,0.121717
T,42,0.8,0.8077,0.5384,230,42,0.023534,0.121717
T,42,0.85,0.8077,0.5384,230,42,0.023534,0.121717
T,42,0.9,0.9423,23.4165,10004,49,0.009169,0.121717
T,42,0.95,1.0,100.0,42722,52,,0.121717
T,43,0.5,0.5577,0.0702,30,29,0.053874,0.121717
T,43,0.55,0.5577,0.0702,30,29,0.053874,0.121717
T,43,0.6,0.5577,0.0702,30,29,0.053874,0.121717
T,43,0.65,0.7115,0.103,44,37,0.035147,0.121717
T,43,0.7,0.7115,0.103,44,37,0.035147,0.121717
T,43,0.75,0.7115,0.103,44,37,0.035147,0.121717
T,43,0.8,0.8077,0.8473,362,42,0.023607,0.121717
T,43,0.85,0.8077,0.8473,362,42,0.023607,0.121717
T,43,0.9,0.9038,10.559,4511,47,0.013085,0.121717
T,43,0.95,1.0,100.0,42722,52,,0.121717
T,44,0.5,0.5192,0.0655,28,27,0.058556,0.121717
T,44,0.55,0.5769,0.0749,32,30,0.051534,0.121717
T,44,0.6,0.5769,0.0749,32,30,0.051534,0.121717
T,44,0.65,0.5769,0.0749,32,30,0.051534,0.121717
T,44,0.7,0.6154,0.0843,36,32,0.046854,0.121717
T,44,0.75,0.7115,0.1053,45,37,0.035148,0.121717
T,44,0.8,0.8077,0.6414,274,42,0.023558,0.121717
T,44,0.85,0.8077,0.6414,274,42,0.023558,0.121717
T,44,0.9,0.8846,7.5956,3245,46,0.015199,0.121717
T,44,0.95,1.0,100.0,42722,52,,0.121717
T,45,0.5,0.5385,0.0655,28,28,0.056214,0.121717
T,45,0.55,0.5769,0.0702,30,30,0.051532,0.121717
T,45,0.6,0.5769,0.0702,30,30,0.051532,0.121717
T,45,0.65,0.5769,0.0726,31,30,0.051533,0.121717
T,45,0.7,0.7308,0.1077,46,38,0.032805,0.121717
T,45,0.75,0.7308,0.1077,46,38,0.032805,0.121717
T,45,0.8,0.7885,0.302,129,41,0.025826,0.121717
T,45,0.85,0.7885,0.302,129,41,0.025826,0.121717
T,45,0.9,0.9231,11.0248,4710,48,0.010523,0.121717
T,45,0.95,1.0,100.0,42722,52,,0.121717
T,46,0.5,0.5,0.0609,26,26,0.060896,0.121717
T,46,0.55,0.5577,0.0749,32,29,0.053877,0.121717
T,46,0.6,0.5769,0.0796,34,30,0.051537,0.121717
T,46,0.65,0.6923,0.0936,40,36,0.037487,0.121717
T,46,0.7,0.6923,0.0936,40,36,0.037487,0.121717
T,46,0.75,0.6923,0.0936,40,36,0.037487,0.121717
T,46,0.8,0.8077,0.3441,147,42,0.023488,0.121717
T,46,0.85,0.8077,0.3441,147,42,0.023488,0.121717
T,46,0.9,0.9231,13.9811,5973,48,0.010885,0.121717
T,46,0.95,1.0,100.0,42722,52,,0.121717
