dataset,seed,n_cal_fraud,resample,target,achieved,alert_pct,degenerate
K,42,10,0,0.8,0.8867,15.8278,False
K,42,10,0,0.9,0.8867,15.8278,False
K,42,10,0,0.95,0.8867,15.8278,False
K,42,10,1,0.8,0.8079,0.8425,False
K,42,10,1,0.9,0.8079,0.8425,False
K,42,10,1,0.95,0.8079,0.8425,False
K,42,10,2,0.8,0.8191,0.9188,False
K,42,10,2,0.9,0.8191,0.9188,False
K,42,10,2,0.95,0.8191,0.9188,False
K,42,10,3,0.8,1.0,100.0,True
K,42,10,3,0.9,1.0,100.0,True
K,42,10,3,0.95,1.0,100.0,True
K,42,10,4,0.8,0.8867,15.8278,False
K,42,10,4,0.9,0.8867,15.8278,False
K,42,10,4,0.95,0.8867,15.8278,False
K,42,10,5,0.8,0.8191,0.9188,False
K,42,10,5,0.9,0.8191,0.9188,False
K,42,10,5,0.95,0.8191,0.9188,False
K,42,10,6,0.8,0.9888,82.6905,True
K,42,10,6,0.9,0.9888,82.6905,True
K,42,10,6,0.95,0.9888,82.6905,True
K,42,10,7,0.8,0.8266,0.9906,False
K,42,10,7,0.9,0.8266,0.9906,False
K,42,10,7,0.95,0.8266,0.9906,False
K,42,10,8,0.8,0.9888,82.6905,True
K,42,10,8,0.9,0.9888,82.6905,True
K,42,10,8,0.95,0.9888,82.6905,True
K,42,10,9,0.8,0.834,1.0635,False
K,42,10,9,0.9,0.834,1.0635,False
K,42,10,9,0.95,0.834,1.0635,False
K,42,10,10,0.8,0.9417,41.3979,False
K,42,10,10,0.9,0.9417,41.3979,False
K,42,10,10,0.95,0.9417,41.3979,False
K,42,10,11,0.8,0.8191,0.9188,False
K,42,10,11,0.9,0.8191,0.9188,False
K,42,10,11,0.95,0.8191,0.9188,False
K,42,10,12,0.8,0.9888,82.6905,True
K,42,10,12,0.9,0.9888,82.6905,True
K,42,10,12,0.95,0.9888,82.6905,True
K,42,10,13,0.8,0.8867,15.8278,False
K,42,10,13,0.9,0.8867,15.8278,False
K,42,10,13,0.95,0.8867,15.8278,False
K,42,10,14,0.8,0.8867,15.8278,False
K,42,10,14,0.9,0.8867,15.8278,False
K,42,10,14,0.95,0.8867,15.8278,False
K,42,10,15,0.8,0.9888,82.6905,True
K,42,10,15,0.9,0.9888,82.6905,True
K,42,10,15,0.95,0.9888,82.6905,True
K,42,10,16,0.8,0.9417,41.3979,False
K,42,10,16,0.9,0.9417,41.3979,False
K,42,10,16,0.95,0.9417,41.3979,False
K,42,10,17,0.8,0.8079,0.8425,False
K,42,10,17,0.9,0.8079,0.8425,False
K,42,10,17,0.95,0.8079,0.8425,False
K,42,10,18,0.8,0.9888,82.6905,True
K,42,10,18,0.9,0.9888,82.6905,True
K,42,10,18,0.95,0.9888,82.6905,True
K,42,10,19,0.8,1.0,100.0,True
K,42,10,19,0.9,1.0,100.0,True
K,42,10,19,0.95,1.0,100.0,True
K,42,10,20,0.8,0.9417,41.3979,False
K,42,10,20,0.9,0.9417,41.3979,False
K,42,10,20,0.95,0.9417,41.3979,False
K,42,10,21,0.8,0.9888,82.6905,True
K,42,10,21,0.9,0.9888,82.6905,True
K,42,10,21,0.95,0.9888,82.6905,True
K,42,10,22,0.8,0.8079,0.8425,False
K,42,10,22,0.9,0.8079,0.8425,False
K,42,10,22,0.95,0.8079,0.8425,False
K,42,10,23,0.8,0.765,0.6932,False
K,42,10,23,0.9,0.765,0.6932,False
K,42,10,23,0.95,0.765,0.6932,False
K,42,10,24,0.8,0.8266,0.9906,False
K,42,10,24,0.9,0.8266,0.9906,False
K,42,10,24,0.95,0.8266,0.9906,False
K,42,10,25,0.8,0.7907,0.7806,False
K,42,10,25,0.9,0.7907,0.7806,False
K,42,10,25,0.95,0.7907,0.7806,False
K,42,10,26,0.8,0.9888,82.6905,True
K,42,10,26,0.9,0.9888,82.6905,True
K,42,10,26,0.95,0.9888,82.6905,True
K,42,10,27,0.8,0.9417,41.3979,False
K,42,10,27,0.9,0.9417,41.3979,False
K,42,10,27,0.95,0.9417,41.3979,False
K,42,10,28,0.8,0.8867,15.8278,False
K,42,10,28,0.9,0.8867,15.8278,False
K,42,10,28,0.95,0.8867,15.8278,False
K,42,10,29,0.8,0.9417,41.3979,False
K,42,10,29,0.9,0.9417,41.3979,False
K,42,10,29,0.95,0.9417,41.3979,False
K,42,10,30,0.8,1.0,100.0,True
K,42,10,30,0.9,1.0,100.0,True
K,42,10,30,0.95,1.0,100.0,True
K,42,10,31,0.8,0.9888,82.6905,True
K,42,10,31,0.9,0.9888,82.6905,True
K,42,10,31,0.95,0.9888,82.6905,True
K,42,10,32,0.8,0.8331,1.0505,False
K,42,10,32,0.9,0.8331,1.0505,False
K,42,10,32,0.95,0.8331,1.0505,False
K,42,10,33,0.8,0.8266,0.9906,False
K,42,10,33,0.9,0.8266,0.9906,False
K,42,10,33,0.95,0.8266,0.9906,False
K,42,10,34,0.8,0.9417,41.3979,False
K,42,10,34,0.9,0.9417,41.3979,False
K,42,10,34,0.95,0.9417,41.3979,False
K,42,10,35,0.8,0.9888,82.6905,True
K,42,10,35,0.9,0.9888,82.6905,True
K,42,10,35,0.95,0.9888,82.6905,True
K,42,10,36,0.8,0.7249,0.5882,False
