dataset,seed,alpha,marg_all,marg_fraud,cond_fraud
T,42,0.05,0.9666214128552034,0.25,1.0
T,42,0.1,0.9666214128552034,0.25,0.9423076923076923
T,42,0.2,0.763072889845981,0.0,0.8076923076923077
T,43,0.05,0.9914797996348486,0.17307692307692307,1.0
T,43,0.1,0.8940592668882543,0.17307692307692307,0.9038461538461539
T,43,0.2,0.7650859042179673,0.0,0.8076923076923077
T,44,0.05,0.9900519638593699,0.17307692307692307,1.0
T,44,0.1,0.9237863395908431,0.17307692307692307,0.8846153846153846
T,44,0.2,0.8861008379757502,0.17307692307692307,0.8076923076923077
T,45,0.05,0.9921117925190768,0.38461538461538464,1.0
T,45,0.1,0.8890501381021487,0.38461538461538464,0.9230769230769231
T,45,0.2,0.8282617854969336,0.38461538461538464,0.7884615384615384
T,46,0.05,0.9488553906652311,0.0,1.0
T,46,0.1,0.9488553906652311,0.0,0.9230769230769231
T,46,0.2,0.7656008613828941,0.0,0.8076923076923077
K,42,0.05,0.984565940700246,0.011188811188811189,0.9417249417249417
K,42,0.1,0.984565940700246,0.011188811188811189,0.8867132867132868
K,42,0.2,0.8405920978048258,0.011188811188811189,0.7906759906759907
K,43,0.05,0.9863096277075284,0.012587412587412588,0.958041958041958
K,43,0.1,0.9863096277075284,0.012587412587412588,0.8857808857808858
K,43,0.2,0.8403491692743995,0.012587412587412588,0.77995337995338
K,44,0.05,0.9573597447630907,0.007925407925407926,1.0
K,44,0.1,0.9573597447630907,0.007925407925407926,0.8857808857808858
K,44,0.2,0.8304466825859832,0.007925407925407926,0.7906759906759907
K,45,0.05,0.9810371788619788,0.011655011655011656,0.9724941724941725
K,45,0.1,0.9810371788619788,0.011655011655011656,0.903962703962704
K,45,0.2,0.9810371788619788,0.011655011655011656,0.7696969696969697
K,46,0.05,0.9549880425178913,0.0,1.0
K,46,0.1,0.9549880425178913,0.0,0.8731934731934732
K,46,0.2,0.8150126232862291,0.0,0.77995337995338
PS,42,0.05,0.9984052691082185,0.6798902195608783,0.9578343313373253
PS,42,0.1,0.9189872515829433,0.0,0.8984530938123753
PS,42,0.2,0.9189872515829433,0.0,0.8086327345309381
PS,43,0.05,0.998383265593943,0.6749001996007984,0.9600798403193613
PS,43,0.1,0.998383265593943,0.6749001996007984,0.9308882235528942
PS,43,0.2,0.998383265593943,0.6749001996007984,0.8737524950099801
PS,44,0.05,0.9672461973212293,0.0,0.9533433133732535
PS,44,0.1,0.9672461973212293,0.0,0.9149201596806387
PS,44,0.2,0.9672461973212293,0.0,0.7919161676646707
