dataset,seed,config,tau,precision,recall,f1,mcc,auprc,roc_auc,TP,FP,FN,TN,raw_cost,ece_out_of_sample_test
T,42,full,0.016,0.7451,0.7308,0.7379,0.7376,0.7098,0.9507,38,13,14,42657,153,
T,42,no_stage1_uniform,0.016,0.76,0.7308,0.7451,0.7449,0.7282,0.9556,38,12,14,42658,152,
T,42,no_stage2_spw,0.014,0.8478,0.75,0.7959,0.7972,0.7083,0.9522,39,7,13,42663,137,
T,42,baseline_no_anomaly,0.034,0.881,0.7115,0.7872,0.7915,0.7183,0.9488,37,5,15,42665,155,0.00017
T,43,full,0.014,0.8043,0.7115,0.7551,0.7562,0.6892,0.9612,37,9,15,42661,159,
T,43,no_stage1_uniform,0.018,0.8372,0.6923,0.7579,0.7611,0.6866,0.9582,36,7,16,42663,167,
T,43,no_stage2_spw,0.014,0.8864,0.75,0.8125,0.8151,0.7324,0.9711,39,5,13,42665,135,
T,43,baseline_no_anomaly,0.012,0.8571,0.6923,0.766,0.7701,0.6809,0.9683,36,6,16,42664,166,0.00024
T,44,full,0.014,0.8222,0.7115,0.7629,0.7646,0.6953,0.959,37,8,15,42662,158,
T,44,no_stage1_uniform,0.024,0.8261,0.7308,0.7755,0.7767,0.7291,0.9567,38,8,14,42662,148,
T,44,no_stage2_spw,0.028,0.8478,0.75,0.7959,0.7972,0.7329,0.9621,39,7,13,42663,137,
T,44,baseline_no_anomaly,0.02,0.881,0.7115,0.7872,0.7915,0.7203,0.9644,37,5,15,42665,155,0.00012
T,45,full,0.016,0.8085,0.7308,0.7677,0.7684,0.7262,0.976,38,9,14,42661,149,
T,45,no_stage1_uniform,0.016,0.7451,0.7308,0.7379,0.7376,0.7312,0.9704,38,13,14,42657,153,
T,45,no_stage2_spw,0.042,0.8864,0.75,0.8125,0.8151,0.7312,0.9619,39,5,13,42665,135,
T,45,baseline_no_anomaly,0.034,0.8864,0.75,0.8125,0.8151,0.7404,0.9514,39,5,13,42665,135,0.00014
T,46,full,0.016,0.717,0.7308,0.7238,0.7235,0.7248,0.9595,38,15,14,42655,155,
T,46,no_stage1_uniform,0.018,0.76,0.7308,0.7451,0.7449,0.7095,0.9695,38,12,14,42658,152,
T,46,no_stage2_spw,0.036,0.8298,0.75,0.7879,0.7886,0.7478,0.9665,39,8,13,42662,138,
T,46,baseline_no_anomaly,0.02,0.4194,0.75,0.5379,0.5601,0.7365,0.9511,39,54,13,42616,184,0.00019
T,47,full,0.012,0.7755,0.7308,0.7525,0.7525,0.7159,0.9533,38,11,14,42659,151,
T,47,no_stage1_uniform,0.022,0.7917,0.7308,0.76,0.7603,0.7175,0.9687,38,10,14,42660,150,
T,47,no_stage2_spw,0.078,0.8667,0.75,0.8041,0.806,0.7298,0.9679,39,6,13,42664,136,
T,47,baseline_no_anomaly,0.026,0.8636,0.7308,0.7917,0.7942,0.7102,0.92,38,6,14,42664,146,0.00029
T,48,full,0.014,0.8222,0.7115,0.7629,0.7646,0.709,0.9584,37,8,15,42662,158,
T,48,no_stage1_uniform,0.02,0.8,0.6923,0.7423,0.7439,0.6936,0.965,36,9,16,42661,169,
T,48,no_stage2_spw,0.028,0.8667,0.75,0.8041,0.806,0.7441,0.9517,39,6,13,42664,136,
T,48,baseline_no_anomaly,0.018,0.9,0.6923,0.7826,0.7891,0.6988,0.9737,36,4,16,42666,164,0.00034
T,49,full,0.084,0.8605,0.7115,0.7789,0.7822,0.7167,0.9601,37,6,15,42664,156,
