dataset,seed,alpha,vertex,gain_pct
T,42,"[1.0, 0.0, 0.0]",IF,8.39
T,43,"[1.0, 0.0, 0.0]",IF,8.08
T,44,"[1.0, 0.0, 0.0]",IF,6.73
T,45,"[1.0, 0.0, 0.0]",IF,8.43
T,46,"[1.0, 0.0, 0.0]",IF,11.9
T,47,"[1.0, 0.0, 0.0]",IF,8.19
T,48,"[1.0, 0.0, 0.0]",IF,10.74
T,49,"[1.0, 0.0, 0.0]",IF,8.74
T,50,"[1.0, 0.0, 0.0]",IF,11.44
T,51,"[1.0, 0.0, 0.0]",IF,10.76
K,42,"[1.0, 0.0, 0.0]",IF,22.1
K,43,"[1.0, 0.0, 0.0]",IF,20.96
K,44,"[1.0, 0.0, 0.0]",IF,24.64
K,45,"[1.0, 0.0, 0.0]",IF,18.68
K,46,"[1.0, 0.0, 0.0]",IF,24.99
K,47,"[1.0, 0.0, 0.0]",IF,20.18
K,48,"[1.0, 0.0, 0.0]",IF,23.62
K,49,"[1.0, 0.0, 0.0]",IF,24.31
K,50,"[1.0, 0.0, 0.0]",IF,22.65
K,51,"[1.0, 0.0, 0.0]",IF,25.28
PS,42,"[0.0, 1.0, 0.0]",LOF,3.25
PS,43,"[0.0, 1.0, 0.0]",LOF,2.1
PS,44,"[0.0, 1.0, 0.0]",LOF,2.41
