dataset,seed,model,auprc,raw_cost,precision,recall,mcc,ece
T,42,ADAPTIVE-CP-FRAUD,0.7098,153,0.7451,0.7308,0.7376,0.00019
T,42,Baseline SPW,0.7183,155,0.881,0.7115,0.7915,0.00017
T,42,HybridMeta-XGB,0.7125,144,0.7358,0.75,0.7426,0.00013
T,43,ADAPTIVE-CP-FRAUD,0.6892,159,0.8043,0.7115,0.7562,9e-05
T,43,Baseline SPW,0.6809,166,0.8571,0.6923,0.7701,0.00024
T,43,HybridMeta-XGB,0.738,140,0.7959,0.75,0.7723,8e-05
T,44,ADAPTIVE-CP-FRAUD,0.6954,158,0.8222,0.7115,0.7646,0.00013
T,44,Baseline SPW,0.7203,155,0.881,0.7115,0.7915,0.00012
T,44,HybridMeta-XGB,0.7331,138,0.8298,0.75,0.7886,0.00011
T,45,ADAPTIVE-CP-FRAUD,0.7262,149,0.8085,0.7308,0.7684,0.00022
T,45,Baseline SPW,0.7404,135,0.8864,0.75,0.8151,0.00014
T,45,HybridMeta-XGB,0.7412,135,0.8864,0.75,0.8151,0.00019
T,46,ADAPTIVE-CP-FRAUD,0.7248,155,0.717,0.7308,0.7235,8e-05
T,46,Baseline SPW,0.7365,184,0.4194,0.75,0.5601,0.00019
T,46,HybridMeta-XGB,0.7476,137,0.8478,0.75,0.7972,0.00014
T,47,ADAPTIVE-CP-FRAUD,0.7159,151,0.7755,0.7308,0.7525,0.00011
T,47,Baseline SPW,0.7102,146,0.8636,0.7308,0.7942,0.00029
T,47,HybridMeta-XGB,0.7386,137,0.8478,0.75,0.7972,0.00017
T,48,ADAPTIVE-CP-FRAUD,0.709,158,0.8222,0.7115,0.7646,0.00015
T,48,Baseline SPW,0.6988,164,0.9,0.6923,0.7891,0.00034
T,48,HybridMeta-XGB,0.7214,138,0.8298,0.75,0.7886,0.0001
T,49,ADAPTIVE-CP-FRAUD,0.7167,156,0.8605,0.7115,0.7822,9e-05
T,49,Baseline SPW,0.7375,136,0.8667,0.75,0.806,0.00017
T,49,HybridMeta-XGB,0.7483,140,0.7959,0.75,0.7723,0.00019
T,50,ADAPTIVE-CP-FRAUD,0.7241,151,0.7755,0.7308,0.7525,0.00015
T,50,Baseline SPW,0.6872,166,0.8571,0.6923,0.7701,0.0002
T,50,HybridMeta-XGB,0.7472,141,0.78,0.75,0.7646,0.00019
T,51,ADAPTIVE-CP-FRAUD,0.7136,150,0.7917,0.7308,0.7603,0.0001
T,51,Baseline SPW,0.7281,145,0.8837,0.7308,0.8034,0.00018
T,51,HybridMeta-XGB,0.7456,138,0.8298,0.75,0.7886,0.00014
K,42,ADAPTIVE-CP-FRAUD,0.5452,7229,0.3441,0.8191,0.5284,0.00026
K,42,Baseline SPW,0.5385,7694,0.3373,0.7981,0.5163,0.00014
K,42,HybridMeta-XGB,0.5518,7781,0.3363,0.7939,0.5141,0.00021
K,43,ADAPTIVE-CP-FRAUD,0.4843,7561,0.3119,0.8308,0.5063,0.00032
K,43,Baseline SPW,0.5493,7411,0.3917,0.7748,0.5486,0.00026
K,43,HybridMeta-XGB,0.5162,7634,0.3628,0.7814,0.53,5e-05
K,44,ADAPTIVE-CP-FRAUD,0.57,7296,0.3767,0.7907,0.5434,0.00034
K,44,Baseline SPW,0.4364,7886,0.3651,0.7655,0.5262,0.0003
K,44,HybridMeta-XGB,0.496,7524,0.3604,0.7893,0.5309,0.00011
K,45,ADAPTIVE-CP-FRAUD,0.4915,7643,0.3113,0.8266,0.5045,0.0004
K,45,Baseline SPW,0.5282,7614,0.3925,0.7632,0.545,0.00022
K,45,HybridMeta-XGB,0.5226,7548,0.3907,0.7678,0.5455,0.00029
K,46,ADAPTIVE-CP-FRAUD,0.4395,7114,0.3647,0.8093,0.5409,0.00034
K,46,Baseline SPW,0.5437,7473,0.3752,0.7818,0.5392,0.00024
K,46,HybridMeta-XGB,0.539,7650,0.3635,0.78,0.53,0.00025
K,47,ADAPTIVE-CP-FRAUD,0.5751,7288,0.4051,0.7739,0.5577,0.0013
K,47,Baseline SPW,0.5254,7535,0.382,0.7739,0.5414,0.00023
K,47,HybridMeta-XGB,0.5182,9547,0.4178,0.6448,0.5168,0.00081
K,48,ADAPTIVE-CP-FRAUD,0.5361,7367,0.4066,0.7688,0.5569,0.00057
K,48,Baseline SPW,0.5445,7565,0.3751,0.7767,0.5374,0.00024
K,48,HybridMeta-XGB,0.5384,8249,0.3406,0.7632,0.5072,0.00041
K,49,ADAPTIVE-CP-FRAUD,0.5514,7160,0.3582,0.8117,0.5367,0.00034
K,49,Baseline SPW,0.5067,7521,0.387,0.7716,0.5442,0.00021
K,49,HybridMeta-XGB,0.4195,7655,0.358,0.7837,0.5272,2e-05
K,50,ADAPTIVE-CP-FRAUD,0.5567,7570,0.3293,0.8126,0.5147,0.00022
K,50,Baseline SPW,0.5219,7733,0.3615,0.7767,0.5274,0.00029
K,50,HybridMeta-XGB,0.5435,7954,0.3616,0.7641,0.5232,0.0002
K,51,ADAPTIVE-CP-FRAUD,0.5378,7597,0.3095,0.8312,0.5045,0.00037
